v1	V(n001)	V(n003)	V(n004)	-I(R1)	-I(R2)
0.000000000000000e+00	1.000000e+01	1.000000e+01	3.321690e-07	-1.006573e-11	1.009154e-11
1.000000000000000e-02	1.000000e+01	1.000000e+01	1.000033e-02	-1.004481e-11	1.009215e-11
2.000000000000000e-02	1.000000e+01	1.000000e+01	2.000033e-02	-1.002332e-11	1.010350e-11
3.000000000000000e-02	1.000000e+01	1.000000e+01	3.000033e-02	-1.000157e-11	1.012193e-11
4.000000000000000e-02	1.000000e+01	1.000000e+01	4.000033e-02	-9.979305e-12	1.015157e-11
5.000000000000000e-02	1.000000e+01	1.000000e+01	5.000033e-02	-9.956371e-12	1.020207e-11
6.000000000000000e-02	1.000000e+01	1.000000e+01	6.000033e-02	-9.932556e-12	1.028109e-11
7.000000000000001e-02	1.000000e+01	1.000000e+01	7.000033e-02	-9.907622e-12	1.039989e-11
8.000000000000000e-02	1.000000e+01	1.000000e+01	8.000033e-02	-9.881220e-12	1.057717e-11
9.000000000000000e-02	1.000000e+01	1.000000e+01	9.000032e-02	-9.852882e-12	1.084378e-11
9.999999999999999e-02	1.000000e+01	1.000000e+01	1.000003e-01	-9.822003e-12	1.123963e-11
1.100000000000000e-01	1.000000e+01	1.000000e+01	1.100003e-01	-9.787812e-12	1.182561e-11
1.200000000000000e-01	1.000000e+01	1.000000e+01	1.200003e-01	-9.749265e-12	1.268915e-11
1.300000000000000e-01	1.000000e+01	1.000000e+01	1.300003e-01	-9.704957e-12	1.396212e-11
1.400000000000000e-01	1.000000e+01	1.000000e+01	1.400003e-01	-9.653031e-12	1.583087e-11
1.500000000000000e-01	1.000000e+01	1.000000e+01	1.500003e-01	-9.590975e-12	1.857833e-11
1.600000000000000e-01	1.000000e+01	1.000000e+01	1.600003e-01	-9.515434e-12	2.261310e-11
1.700000000000000e-01	1.000000e+01	1.000000e+01	1.700003e-01	-9.421881e-12	2.853742e-11
1.800000000000000e-01	1.000000e+01	1.000000e+01	1.800003e-01	-9.304164e-12	3.722851e-11
1.900000000000000e-01	1.000000e+01	1.000000e+01	1.900003e-01	-9.153872e-12	4.998469e-11
2.000000000000000e-01	1.000000e+01	1.000000e+01	2.000003e-01	-8.959528e-12	6.869742e-11
2.100000000000000e-01	1.000000e+01	1.000000e+01	2.100003e-01	-8.705324e-12	9.614946e-11
2.200000000000001e-01	1.000000e+01	1.000000e+01	2.200003e-01	-8.369482e-12	1.364218e-10
2.300000000000001e-01	1.000000e+01	1.000000e+01	2.300003e-01	-7.921800e-12	1.954955e-10
2.400000000000001e-01	1.000000e+01	1.000000e+01	2.400002e-01	-7.320199e-12	2.821524e-10
2.500000000000001e-01	1.000000e+01	1.000000e+01	2.500002e-01	-6.505772e-12	4.092626e-10
2.600000000000001e-01	1.000000e+01	9.999999e+00	2.600002e-01	-5.395987e-12	5.957103e-10
2.700000000000001e-01	1.000000e+01	9.999999e+00	2.700001e-01	-3.874287e-12	8.691977e-10
2.800000000000001e-01	1.000000e+01	9.999999e+00	2.800001e-01	-1.776101e-12	1.270346e-09
2.900000000000001e-01	1.000000e+01	9.999998e+00	2.900000e-01	1.132388e-12	1.858752e-09
3.000000000000001e-01	1.000000e+01	9.999997e+00	2.999998e-01	5.184027e-12	2.721819e-09
3.100000000000001e-01	1.000000e+01	9.999996e+00	3.099996e-01	1.085393e-11	3.987748e-09
3.200000000000001e-01	1.000000e+01	9.999994e+00	3.199994e-01	1.882283e-11	5.844575e-09
3.300000000000001e-01	1.000000e+01	9.999991e+00	3.299990e-01	3.006750e-11	8.568096e-09
3.400000000000001e-01	1.000000e+01	9.999988e+00	3.399985e-01	4.599398e-11	1.256281e-08
3.500000000000001e-01	1.000000e+01	9.999982e+00	3.499977e-01	6.862898e-11	1.842194e-08
3.600000000000002e-01	1.000000e+01	9.999973e+00	3.599967e-01	1.009008e-10	2.701548e-08
3.700000000000002e-01	1.000000e+01	9.999960e+00	3.699951e-01	1.470458e-10	3.961920e-08
3.800000000000002e-01	1.000000e+01	9.999942e+00	3.799930e-01	2.132033e-10	5.810363e-08
3.900000000000002e-01	1.000000e+01	9.999915e+00	3.899898e-01	3.082797e-10	8.521097e-08
4.000000000000002e-01	1.000000e+01	9.999875e+00	3.999853e-01	4.452100e-10	1.249602e-07
4.100000000000002e-01	1.000000e+01	9.999817e+00	4.099788e-01	6.427933e-10	1.832397e-07
4.200000000000002e-01	1.000000e+01	9.999731e+00	4.199694e-01	9.283645e-10	2.686716e-07
4.300000000000002e-01	1.000000e+01	9.999606e+00	4.299557e-01	1.341675e-09	3.938722e-07
4.400000000000002e-01	1.000000e+01	9.999423e+00	4.399360e-01	1.940516e-09	5.772814e-07
4.500000000000002e-01	1.000000e+01	9.999154e+00	4.499073e-01	2.808822e-09	8.458074e-07
4.600000000000002e-01	1.000000e+01	9.998761e+00	4.598657e-01	4.068296e-09	1.238623e-06
4.700000000000003e-01	1.000000e+01	9.998187e+00	4.698055e-01	5.894889e-09	1.812561e-06
4.800000000000003e-01	1.000000e+01	9.997351e+00	4.797181e-01	8.541849e-09	2.649670e-06
4.900000000000003e-01	1.000000e+01	9.996133e+00	4.895917e-01	1.237122e-08	3.867543e-06
5.000000000000002e-01	1.000000e+01	9.994367e+00	4.994094e-01	1.789546e-08	5.632987e-06
